,0
959,b'9833'
960,b'9834'
961,b'9835'
962,b'9836'
963,b'9837'
964,b'9838'
965,b'9839'
966,b'9840'
967,b'9841'
968,b'9843'
969,b'9844'
970,b'9845'
971,b'9846'
972,b'9847'
973,b'9848'
974,b'9849'
975,b'9850'
976,b'9851'
977,b'9852'
978,b'9853'
979,b'9854'
980,b'9855'
981,b'9856'
982,b'9857'
983,b'9858'
984,b'9859'
985,b'9860'
986,b'9861'
987,b'9862'
988,b'9864'
989,b'9866'
990,b'9867'
991,b'9868'
992,b'9869'
993,b'9870'
994,b'9871'
995,b'9873'
996,b'9874'
997,b'9875'
998,b'9876'
999,b'9877'
1000,b'9878'
1001,b'9879'
1002,b'9880'
1003,b'9881'
1004,b'9882'
1005,b'9883'
1006,b'9885'
1007,b'9886'
1008,b'9887'
1009,b'9888'
1010,b'9890'
1011,b'9891'
1012,b'9892'
1013,b'9894'
1014,b'9895'
1015,b'9897'
1016,b'9898'
1017,b'9899'
1018,b'9900'
1019,b'9901'
1020,b'9902'
1021,b'9903'
1022,b'9904'
1023,b'9905'
1024,b'9906'
1025,b'9908'
1026,b'9909'
1027,b'9910'
1028,b'9911'
1029,b'9912'
1030,b'9914'
1031,b'9915'
1032,b'9917'
1033,b'9918'
1034,b'9920'
1035,b'9921'
1036,b'9924'
1037,b'9925'
1038,b'9926'
1039,b'9927'
1040,b'9928'
1041,b'9929'
1042,b'9930'
1043,b'9932'
1044,b'9933'
1045,b'9935'
1046,b'9937'
1047,b'9938'
1048,b'9939'
1049,b'9941'
1050,b'9942'
1051,b'9943'
1052,b'9944'
1053,b'9945'
1054,b'9946'
1055,b'9947'
1056,b'9948'
1057,b'9949'
1058,b'9950'
1059,b'9951'
1060,b'9952'
1061,b'9953'
1062,b'9955'
1063,b'9956'
1064,b'9957'
1065,b'9958'
1066,b'9959'
1067,b'9960'
1068,b'9962'
1069,b'9963'
1070,b'9964'
1071,b'9965'
1072,b'9966'
1073,b'9968'
1074,b'9969'
1075,b'9970'
1076,b'9971'
1077,b'9972'
1078,b'9973'
1079,b'9974'
1080,b'9975'
1081,b'9976'
1082,b'9978'
1083,b'9979'
1084,b'9980'
1085,b'9981'
1086,b'9982'
1087,b'9983'
1088,b'9984'
1089,b'9985'
1090,b'9986'
1091,b'9987'
1092,b'9988'
1093,b'9990'
1094,b'9991'
1095,b'9993'
1096,b'9995'
1097,b'9996'
1098,b'9997'
1099,b'9998'
1100,b'9999'
1101,b'10001'
1102,b'10002'
1103,b'10004'
1104,b'10005'
1105,b'10006'
1106,b'10008'
1107,b'10009'
1108,b'10010'
1109,b'10011'
1110,b'10012'
1111,b'10013'
1112,b'10014'
1113,b'10015'
1114,b'10017'
1115,b'10018'
1116,b'10020'
1117,b'10022'
1118,b'10023'
1119,b'10027'
1120,b'14312'
1121,b'14313'
1122,b'14314'
1123,b'14315'
1124,b'14318'
1125,b'14319'
1126,b'15560'
1127,b'15591'
1128,b'15592'
1129,b'15593'
1130,b'18694'
1131,b'18696'
1132,b'19949'
1133,b'19950'
1134,b'19951'
1135,b'9077'
1136,b'5310'
1137,b'1867'
1138,b'8304'
1139,b'6727'
1140,b'8300'
1141,b'6729'
1142,b'166'
1143,b'8629'
1144,b'5821'
1145,b'5820'
1146,b'1948'
1147,b'7301'
1148,b'5826'
1149,b'5982'
1150,b'5983'
1151,b'1941'
1152,b'5987'
1153,b'7004'
1154,b'346'
1155,b'347'
1156,b'340'
1157,b'341'
1158,b'343'
1159,b'7030'
1160,b'348'
1161,b'349'
1162,b'7519'
1163,b'7518'
1164,b'1799'
1165,b'5841'
1166,b'719'
1167,b'7238'
1168,b'7847'
1169,b'5461'
1170,b'6421'
1171,b'7128'
1172,b'5466'
1173,b'5469'
1174,b'6093'
1175,b'7123'
1176,b'7121'
1177,b'1068'
1178,b'5264'
1179,b'2316'
1180,b'1064'
1181,b'5919'
1182,b'298'
1183,b'296'
1184,b'297'
1185,b'295'
1186,b'5911'
1187,b'5910'
1188,b'5913'
1189,b'291'
1190,b'165'
1191,b'8608'
1192,b'5749'
1193,b'198'
1194,b'6988'
1195,b'194'
1196,b'6985'
