Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G1101,b2,Col,Ren11,6909,6960,mixture,Col Ren11,9,7,03/27/2016,03/27/2016,NA,NA,NA,678,413,1091
G1102,b2,Col,Rmx2,6909,7524,mixture,Col Rmx2,8.5,7.5,03/29/2016,NA,NA,NA,NA,582,479,1061
G1103,b2,Col,Rmx180,6909,7525,mixture,Col Rmx180,9,6.5,03/27/2016,NA,NA,NA,NA,690,420,1110
G1104,b2,Col,Rrs7,6909,7514,mixture,Col Rrs7,9,5.5,03/27/2016,NA,NA,NA,NA,717,347,1064
G1105,b2,Col,Se,6909,6961,mixture,Col Se,9.5,8.5,03/27/2016,04/12/2016,04/21/2012,115.4,178.24,766,372,1138
G1106,b2,Col,Sha,6909,6962,mixture,Col Sha,10.5,7.5,03/24/2016,03/29/2016,04/21/2012,169.5,232.34,718,606,1324
G1107,b2,Col,Sorbo,6909,6963,mixture,Col Sorbo,8,8,03/27/2016,NA,NA,NA,NA,450,473,923
G1108,b2,Col,Tamm2,6909,6968,mixture,Col Tamm2,9,7.5,03/27/2016,NA,NA,NA,NA,735,255,990
G1109,b2,Col,Tamm27,6909,6969,mixture,Col Tamm27,10,9,03/24/2016,NA,NA,NA,NA,777,185,962
G1110,b2,Col,Ts1,6909,6970,mixture,Col Ts1,8,8,03/27/2016,04/10/2016,NA,NA,NA,486,414,900
G1111,b2,Col,NA,6909,NA,single,Col,8.5,NA,03/27/2016,NA,NA,NA,NA,927,NA,NA
G1112,b2,Col,Ull23,6909,6973,mixture,Col Ull23,8.5,6.5,03/27/2016,03/29/2016,04/21/2012,150.7,213.54,579,523,1102
G1113,b2,Col,Uod1,6909,6975,mixture,Col Uod1,9,7.5,03/29/2016,03/31/2016,NA,NA,NA,725,396,1121
G1114,b2,Col,Uod7,6909,6976,mixture,Col Uod7,9,7,03/27/2016,NA,NA,NA,NA,620,409,1029
G1115,b2,Col,Van,6909,6977,mixture,Col Van,8,7,03/29/2016,03/29/2016,04/21/2012,127.6,190.44,531,327,858
G1116,b2,Col,Var21,6909,7516,mixture,Col Var21,NA,NA,03/29/2016,NA,NA,NA,NA,646,249,895
G1117,b2,Col,Var26,6909,7517,mixture,Col Var26,8,7.5,03/29/2016,NA,NA,NA,NA,708,198,906
G1118,b2,Col,Wa,6909,6978,mixture,Col Wa,8.5,7,03/29/2016,03/27/2016,04/21/2012,139.6,202.44,690,314,1004
G1119,b2,Col,Wie,6909,6979,mixture,Col Wie,8,8,03/27/2016,03/24/2016,NA,NA,NA,686,426,1112
G1120,b2,Col,Ws0,6909,6980,mixture,Col Ws0,7.5,6,03/29/2016,NA,04/20/2012,145.9,202.53,581,343,924
G1121,b2,Col,Ws2,6909,6981,mixture,Col Ws2,8,6.5,03/29/2016,03/27/2016,NA,NA,NA,585,423,1008
G1122,b2,Col,Wt5,6909,6982,mixture,Col Wt5,9,6.5,03/29/2016,04/05/2016,04/21/2012,118.6,181.44,628,345,973
G1123,b2,Col,Yo,6909,6983,mixture,Col Yo,9,7,03/29/2016,NA,NA,NA,NA,536,349,885
G1124,b2,Col,Zdr,6909,6984,mixture,Col Zdr,9.5,8,03/27/2016,03/27/2016,NA,NA,NA,621,406,1027
G1125,b2,Col,Sav,6909,8412,mixture,Col Sav,9,8.5,03/29/2016,03/20/2016,NA,NA,NA,665,457,1122
G1126,b2,Col,Uk,6909,7378,mixture,Col Uk,9,8.5,03/27/2016,04/10/2016,NA,NA,NA,525,503,1028
G1127,b2,Col,Sf2,6909,7328,mixture,Col Sf2,8,10.5,03/27/2016,NA,NA,NA,NA,562,392,954
G1128,b2,Col,St0,6909,8387,mixture,Col St0,7.5,9,03/27/2016,04/03/2016,NA,NA,NA,466,560,1026
G1129,b2,Col,Cvi,6909,6911,mixture,Col Cvi,10,7.5,03/27/2016,03/27/2016,04/21/2012,96.9,159.74,774,201,975
G1130,b2,Col,Ci17,6909,6907,mixture,Col Ci17,8,6.5,04/03/2016,NA,NA,NA,NA,419,513,932
G1131,b2,Col,Kno10,6909,6927,mixture,Col Kno10,9.5,8.5,03/27/2016,NA,NA,NA,NA,547,462,1009
G1132,b2,Col,Kn-0,6909,7186,mixture,Col Kn-0,8.5,8.5,03/29/2016,03/29/2016,NA,NA,NA,525,548,1073
G1133,b2,Col,Pu27,6909,6956,mixture,Col Pu27,10,8.5,03/27/2016,NA,NA,NA,NA,475,503,978
G1134,b2,Col,Sq1,6909,6966,mixture,Col Sq1,9,9,03/27/2016,NA,NA,NA,NA,675,418,1093
G1135,b2,Col,Ull25,6909,6974,mixture,Col Ull25,8.5,8,03/31/2016,04/05/2016,04/21/2012,136.1,198.94,569,432,1001
G1136,b2,Col,Ag,6909,6897,mixture,Col Ag,9.5,7.5,03/27/2016,NA,NA,NA,NA,629,360,989
G1137,b2,Col,Gy,6909,8214,mixture,Col Gy,8.5,6,03/27/2016,NA,NA,NA,NA,719,173,892
G1138,b2,Col,Bor4,6909,6903,mixture,Col Bor4,9,8,03/27/2016,04/03/2016,NA,NA,NA,550,445,995
G1139,b2,Col,Fab4,6909,6918,mixture,Col Fab4,9,7.5,03/27/2016,NA,NA,NA,NA,807,179,986
G1140,b2,Col,Ga,6909,6919,mixture,Col Ga,9.5,8.5,03/27/2016,04/07/2016,04/21/2012,181.9,244.74,647,585,1232
G1141,b2,Col,Kno18,6909,6928,mixture,Col Kno18,9,6,03/29/2016,NA,NA,NA,NA,806,328,1134
G1142,b2,Col,Mt0,6909,6939,mixture,Col Mt0,9.5,9.5,03/27/2016,03/20/2016,NA,NA,NA,549,594,1143
G1143,b2,Col,Omo21,6909,7518,mixture,Col Omo21,9,10,03/27/2016,NA,NA,NA,NA,610,429,1039
G1144,b2,Col,Pu223,6909,6951,mixture,Col Pu223,8.5,7.5,03/27/2016,04/05/2016,NA,NA,NA,693,422,1115
G1145,b2,Col,Rrs10,6909,7515,mixture,Col Rrs10,9.5,8.5,03/29/2016,NA,04/21/2012,129.5,192.34,488,386,874
G1146,b2,Col,Fei,6909,8215,mixture,Col Fei,9,9,03/29/2016,03/31/2016,NA,NA,NA,576,493,1069
G1147,b2,Col,Kas,6909,8424,mixture,Col Kas,7.5,9.5,03/29/2016,NA,NA,NA,NA,435,610,1045
G1148,b2,Col,No,6909,7275,mixture,Col No,8.5,9.5,03/27/2016,03/22/2016,NA,NA,NA,722,608,1330
G1149,b2,Col,Bla1,6909,8264,mixture,Col Bla1,6,9,04/03/2016,NA,NA,NA,NA,376,272,648
G1150,b2,Col,Can,6909,8274,mixture,Col Can,10,8,03/27/2016,NA,NA,NA,NA,535,424,959
G1151,b2,Col,Ge,6909,8297,mixture,Col Ge,9.5,10,03/27/2016,NA,NA,NA,NA,536,457,993
G1152,b2,Col,Wil2,6909,7413,mixture,Col Wil2,10,9,03/24/2016,03/22/2016,NA,NA,NA,665,606,1271
G1153,b2,Ler,Ci5,6932,6908,mixture,Ler Ci5,8,7,03/27/2016,04/05/2016,NA,NA,NA,439,673,1112
G1154,b2,NA,NA,NA,NA,monoculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1155,b2,Ler,Nfa10,6932,6943,mixture,Ler Nfa10,6.5,6.5,03/27/2016,04/05/2016,NA,NA,NA,468,324,792
G1156,b2,Ler,Nfa8,6932,6944,mixture,Ler Nfa8,9,6,03/24/2016,03/27/2016,04/21/2012,105.6,168.44,735,328,1063
G1157,b2,Ler,Spr16,6932,6965,mixture,Ler Spr16,7.5,7,03/27/2016,NA,NA,NA,NA,461,377,838
G1158,b2,Ler,Ts5,6932,6971,mixture,Ler Ts5,8,8,03/27/2016,NA,04/21/2012,134.2,197.04,500,392,892
G1159,b2,Ler,Kz9,6932,6931,mixture,Ler Kz9,7,8.5,03/27/2016,04/03/2016,NA,NA,NA,351,618,969
G1160,b2,Ler,An1,6932,6898,mixture,Ler An1,7,8,03/27/2016,03/22/2016,NA,NA,NA,468,342,810
G1161,b2,Ler,Bay,6932,6899,mixture,Ler Bay,7.5,7.5,03/27/2016,03/27/2016,04/21/2012,129.1,191.94,387,648,1035
G1162,b2,Ler,Bil5,6932,6900,mixture,Ler Bil5,7.5,5.5,03/27/2016,NA,NA,NA,NA,748,113,861
G1163,b2,Ler,Bil7,6932,6901,mixture,Ler Bil7,7,7,03/27/2016,NA,04/21/2012,103.8,166.64,502,136,638
G1164,b2,Ler,Bor1,6932,5837,mixture,Ler Bor1,7.5,6,03/27/2016,04/07/2016,NA,NA,NA,490,550,1040
G1165,b2,Ler,Br0,6932,6904,mixture,Ler Br0,7,7.5,03/27/2016,NA,04/21/2012,160.4,223.24,494,524,1018
G1166,b2,Ler,Bur,6932,6905,mixture,Ler Bur,7.5,8,03/27/2016,04/05/2016,NA,NA,NA,408,731,1139
G1167,b2,Ler,C24,6932,6906,mixture,Ler C24,6.5,7,03/24/2016,03/31/2016,NA,NA,NA,315,635,950
G1168,b2,Ler,Col,6932,6909,mixture,Ler Col,8,9,03/27/2016,03/27/2016,NA,NA,NA,470,590,1060
G1169,b2,Ler,Ct,6932,6910,mixture,Ler Ct,6,9,03/27/2016,03/27/2016,04/20/2012,133.3,189.93,384,482,866
G1170,b2,Ler,Ed1,6932,6009,mixture,Ler Ed1,6,8,03/27/2016,NA,NA,NA,NA,547,262,809
G1171,b2,Ler,Ed2,6932,6913,mixture,Ler Ed2,8,7,03/24/2016,NA,NA,NA,NA,596,160,756
G1172,b2,Ler,Edi0,6932,6914,mixture,Ler Edi0,8,8,03/24/2016,NA,NA,NA,NA,452,405,857
G1173,b2,Ler,Ei2,6932,6915,mixture,Ler Ei2,6,7.5,03/27/2016,04/10/2016,NA,NA,NA,362,418,780
G1174,b2,Ler,Est,6932,6916,mixture,Ler Est,7,5,03/27/2016,03/29/2016,NA,NA,NA,522,322,844
G1175,b2,Ler,Fab2,6932,6917,mixture,Ler Fab2,7.5,8.5,03/27/2016,NA,NA,NA,NA,555,315,870
G1176,b2,Ler,Got22,6932,6920,mixture,Ler Got22,7,10,03/27/2016,NA,04/21/2012,117.7,180.54,415,484,899
G1177,b2,Ler,Got7,6932,6921,mixture,Ler Got7,8,10.5,03/24/2016,NA,NA,NA,NA,466,516,982
G1178,b2,Ler,Gu0,6932,6922,mixture,Ler Gu0,8,8.5,03/27/2016,03/24/2016,NA,NA,NA,518,397,915
G1179,b2,Ler,Kin,6932,6926,mixture,Ler Kin,7,7.5,03/27/2016,04/07/2016,04/21/2012,146.9,209.74,418,508,926
G1180,b2,Ler,Kond,6932,6929,mixture,Ler Kond,8,9,03/27/2016,04/05/2016,NA,NA,NA,483,679,1162
G1181,b2,Ler,Ler,6932,6932,monoculture,Ler Ler,8,7,03/27/2016,03/27/2016,04/21/2012,107.3,170.14,553,532,1085
G1182,b2,Ler,Lov1,6932,6043,mixture,Ler Lov1,8,7,03/24/2016,NA,NA,NA,NA,626,187,813
G1183,b2,Ler,Lov5,6932,6046,mixture,Ler Lov5,7.5,7,03/27/2016,NA,NA,NA,NA,533,146,679
G1184,b2,Ler,Lp22,6932,7520,mixture,Ler Lp22,8,8,03/24/2016,03/29/2016,NA,NA,NA,457,625,1082
G1185,b2,Ler,Lz,6932,6936,mixture,Ler Lz,8,8.5,03/27/2016,04/12/2016,NA,NA,NA,499,500,999
G1186,b2,Ler,Mrk,6932,6937,mixture,Ler Mrk,8,8,03/27/2016,04/03/2016,NA,NA,NA,341,520,861
G1187,b2,Ler,Mz,6932,6940,mixture,Ler Mz,6.5,5.5,03/27/2016,03/31/2016,04/21/2012,99.8,162.64,489,106,595
G1188,b2,Ler,Nd,6932,6942,mixture,Ler Nd,8,7.5,03/27/2016,03/27/2016,NA,NA,NA,577,394,971
G1189,b2,Ler,Nok3,6932,6945,mixture,Ler Nok3,7.5,9,03/24/2016,NA,NA,NA,NA,462,482,944
