Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G520,b1,Uk,Pna10,7378,7526,mixture,Uk Pna10,8,6.5,04/12/2016,NA,04/20/2012,172.3,228.93,594,395,989
G521,b1,Uk,Pna17,7378,7523,mixture,Uk Pna17,9,7,04/10/2016,NA,04/17/2012,191.1,191.10,545,315,860
G522,b1,Uk,Pro,7378,8213,mixture,Uk Pro,10,8.5,04/05/2016,03/22/2016,04/18/2012,188.6,209.40,625,445,1070
G523,b1,Uk,Ra,7378,6958,mixture,Uk Ra,9,7,04/12/2016,03/27/2016,04/20/2012,194.7,251.33,625,423,1048
G524,b1,Uk,Ren1,7378,6959,mixture,Uk Ren1,9,7,04/12/2016,04/03/2016,04/17/2012,236,236.00,469,523,992
G525,b1,Uk,Ren11,7378,6960,mixture,Uk Ren11,8.5,8,NA,03/29/2016,04/20/2012,167.9,224.53,505,645,1150
G526,b1,Uk,Rmx2,7378,7524,mixture,Uk Rmx2,9,7,NA,NA,04/17/2012,320.2,320.20,583,455,1038
G527,b1,Uk,Rmx180,7378,7525,mixture,Uk Rmx180,6.5,7,NA,NA,04/20/2012,172.3,228.93,405,423,828
G528,b1,Uk,Rrs7,7378,7514,mixture,Uk Rrs7,10,7.5,04/10/2016,04/12/2016,04/20/2012,199.9,256.53,550,439,989
G529,b1,Uk,Se,7378,6961,mixture,Uk Se,9.5,9.5,04/10/2016,NA,04/18/2012,242.2,263.00,629,467,1096
G530,b1,Uk,Sha,7378,6962,mixture,Uk Sha,10,8,04/12/2016,03/31/2016,04/17/2012,200.4,200.40,487,530,1017
G531,b1,Uk,Sorbo,7378,6963,mixture,Uk Sorbo,8.5,7,04/05/2016,NA,04/17/2012,330.1,330.10,577,551,1128
G532,b1,Uk,Tamm2,7378,6968,mixture,Uk Tamm2,9,6,04/03/2016,NA,04/18/2012,216.2,237.00,782,228,1010
G533,b1,Uk,Tamm27,7378,6969,mixture,Uk Tamm27,9.5,7.5,04/10/2016,NA,04/19/2012,180.3,210.68,733,323,1056
G534,b1,Uk,Ts1,7378,6970,mixture,Uk Ts1,8.5,7,NA,04/12/2016,04/18/2012,213.1,233.90,575,405,980
G535,b1,Uk,Tsu1,7378,6972,mixture,Uk Tsu1,8.5,8,04/10/2016,03/29/2016,04/17/2012,322.5,322.50,528,776,1304
G536,b1,Uk,Ull23,7378,6973,mixture,Uk Ull23,6,7,NA,03/29/2016,04/17/2012,327.1,327.10,464,749,1213
G537,b1,Uk,Uod1,7378,6975,mixture,Uk Uod1,8,7,04/10/2016,03/29/2016,04/20/2012,146.5,203.13,460,463,923
G538,b1,Uk,Uod7,7378,6976,mixture,Uk Uod7,8,8,04/10/2016,NA,04/20/2012,155.2,211.83,501,385,886
G539,b1,Uk,Van,7378,6977,mixture,Uk Van,7,8,04/12/2016,03/27/2016,04/19/2012,176.6,206.98,424,546,970
G540,b1,Uk,Var21,7378,7516,mixture,Uk Var21,8.5,6,04/12/2016,NA,04/20/2012,178,234.63,808,201,1009
G541,b1,Uk,Var26,7378,7517,mixture,Uk Var26,8,7,04/07/2016,NA,04/19/2012,144.4,174.78,496,192,688
G542,b1,Uk,Wa,7378,6978,mixture,Uk Wa,7.5,7.5,04/12/2016,03/27/2016,04/20/2012,132.2,188.83,492,412,904
G543,b1,Uk,Wie,7378,6979,mixture,Uk Wie,7,7.5,04/12/2016,03/20/2016,04/18/2012,138.7,159.50,458,426,884
G544,b1,Uk,Ws0,7378,6980,mixture,Uk Ws0,7.5,8,NA,NA,04/18/2012,175,195.80,483,419,902
G545,b1,Uk,Ws2,7378,6981,mixture,Uk Ws2,6.5,7,NA,03/20/2016,04/19/2012,169.7,200.08,447,580,1027
G546,b1,Uk,Wt5,7378,6982,mixture,Uk Wt5,7,7,04/10/2016,04/03/2016,04/19/2012,162.4,192.78,573,432,1005
G547,b1,Uk,Yo,7378,6983,mixture,Uk Yo,6.5,6.5,04/12/2016,NA,04/19/2012,176,206.38,509,558,1067
G548,b1,Uk,Zdr,7378,6984,mixture,Uk Zdr,7.5,7,04/05/2016,03/27/2016,04/17/2012,197.4,197.40,556,460,1016
G549,b1,Uk,Sav,7378,8412,mixture,Uk Sav,8.5,7.5,04/10/2016,03/20/2016,04/20/2012,177.1,233.73,667,409,1076
G550,b1,Uk,Uk,7378,7378,monoculture,Uk Uk,9.5,9.5,04/07/2016,04/05/2016,04/19/2012,223.6,253.98,535,540,1075
G551,b1,Uk,Sf2,7378,7328,mixture,Uk Sf2,8,8,04/10/2016,NA,04/17/2012,185.8,185.80,590,333,923
G552,b1,Uk,St0,7378,8387,mixture,Uk St0,8.5,8,04/12/2016,03/31/2016,04/18/2012,282,302.80,503,619,1122
G553,b1,Uk,Cvi,7378,6911,mixture,Uk Cvi,8,6,04/10/2016,03/27/2016,04/17/2012,188.4,188.40,575,244,819
G554,b1,Uk,Ci17,7378,6907,mixture,Uk Ci17,6.5,5.5,NA,NA,04/17/2012,296.1,296.10,384,544,928
G555,b1,Uk,Kno10,7378,6927,mixture,Uk Kno10,9,7.5,04/10/2016,NA,04/17/2012,225.5,225.50,587,466,1053
G556,b1,Uk,Lp26,7378,7521,mixture,Uk Lp26,8,6.5,04/10/2016,04/10/2016,04/19/2012,199.2,229.58,586,520,1106
G557,b1,Uk,Pu27,7378,6956,mixture,Uk Pu27,8,7.5,04/10/2016,04/12/2016,04/20/2012,166.6,223.23,444,419,863
G558,b1,Uk,Sq1,7378,6966,mixture,Uk Sq1,8.5,7.5,04/07/2016,NA,04/18/2012,180.5,201.30,570,341,911
G559,b1,Uk,Ull25,7378,6974,mixture,Uk Ull25,9,7,04/10/2016,03/31/2016,04/20/2012,165.4,222.03,669,593,1262
G560,b1,Uk,Ag,7378,6897,mixture,Uk Ag,8.5,6,04/07/2016,NA,04/20/2012,186.2,242.83,772,433,1205
G561,b1,Uk,Gy,7378,8214,mixture,Uk Gy,9.5,9,NA,04/05/2016,04/20/2012,155.4,212.03,539,392,931
G562,b1,Uk,Bor4,7378,6903,mixture,Uk Bor4,9,8,04/10/2016,04/03/2016,04/19/2012,227.2,257.58,468,637,1105
G563,b1,Uk,Fab4,7378,6918,mixture,Uk Fab4,9,7,04/10/2016,NA,04/17/2012,186.1,186.10,644,145,789
G564,b1,Uk,Ga,7378,6919,mixture,Uk Ga,8.5,7.5,NA,04/07/2016,04/17/2012,214.5,214.50,471,452,923
G565,b1,Uk,Kno18,7378,6928,mixture,Uk Kno18,8,7.5,04/10/2016,NA,04/19/2012,221.9,252.28,575,356,931
G566,b1,Uk,Mt0,7378,6939,mixture,Uk Mt0,7,7,04/10/2016,03/29/2016,04/20/2012,134.9,191.53,365,504,869
G567,b1,Uk,Omo21,7378,7518,mixture,Uk Omo21,7.5,7,NA,NA,04/18/2012,174.6,195.40,543,375,918
G568,b1,Uk,Pu223,7378,6951,mixture,Uk Pu223,7.5,6,04/10/2016,04/05/2016,04/20/2012,165.3,221.93,507,413,920
G569,b1,Uk,Rrs10,7378,7515,mixture,Uk Rrs10,9,6,04/07/2016,NA,04/18/2012,181.1,201.90,604,365,969
G570,b1,Uk,Fei,7378,8215,mixture,Uk Fei,8,7.5,NA,03/29/2016,04/20/2012,158,214.63,596,696,1292
G571,b1,Uk,Kas,7378,8424,mixture,Uk Kas,9.5,9.5,04/07/2016,NA,04/19/2012,186.5,216.88,543,539,1082
G572,b1,Uk,No,7378,7275,mixture,Uk No,7.5,9.5,04/10/2016,03/20/2016,04/17/2012,265.5,265.50,515,631,1146
G573,b1,Uk,Bla1,7378,8264,mixture,Uk Bla1,8,10.5,04/10/2016,NA,04/19/2012,150.6,180.98,566,422,988
G574,b1,Uk,Can,7378,8274,mixture,Uk Can,9.5,8.5,04/10/2016,NA,04/17/2012,227.7,227.70,598,468,1066
G575,b1,Uk,Ge,7378,8297,mixture,Uk Ge,10,8.5,04/12/2016,NA,04/20/2012,202.5,259.13,628,558,1186
G576,b1,Uk,Wil2,7378,7413,mixture,Uk Wil2,9,8.5,04/05/2016,03/20/2016,04/17/2012,232.3,232.30,686,582,1268
G577,b1,Sav,Ci5,8412,6908,mixture,Sav Ci5,8,9.5,03/20/2016,04/10/2016,04/17/2012,175.8,175.80,493,625,1118
G578,b1,Sav,Ll0,8412,6933,mixture,Sav Ll0,7,6,03/20/2016,NA,04/20/2012,93.1,149.73,426,299,725
G579,b1,Sav,Nfa10,8412,6943,mixture,Sav Nfa10,8,5,03/20/2016,04/03/2016,04/20/2012,60.2,116.83,515,335,850
G580,b1,Sav,Nfa8,8412,6944,mixture,Sav Nfa8,8.5,10,03/20/2016,03/24/2016,04/20/2012,130.7,187.33,440,768,1208
G581,b1,Sav,Spr16,8412,6965,mixture,Sav Spr16,7,4.5,03/20/2016,NA,04/19/2012,129.7,160.08,583,331,914
G582,b1,Sav,Ts5,8412,6971,mixture,Sav Ts5,8,8.5,03/20/2016,NA,04/18/2012,169.4,190.20,514,494,1008
G583,b1,Sav,Kz9,8412,6931,mixture,Sav Kz9,7,7,03/20/2016,03/27/2016,04/19/2012,138.7,169.08,331,684,1015
G584,b1,Sav,An1,8412,6898,mixture,Sav An1,7.5,7.5,03/20/2016,03/20/2016,04/19/2012,100.1,130.48,591,565,1156
G585,b1,Sav,Bay,8412,6899,mixture,Sav Bay,8.5,8.5,03/20/2016,03/22/2016,04/20/2012,143.4,200.03,489,903,1392
G586,b1,Sav,Bil5,8412,6900,mixture,Sav Bil5,6,7,03/20/2016,NA,04/18/2012,66.4,87.20,444,141,585
G587,b1,Sav,Bil7,8412,6901,mixture,Sav Bil7,9,7,03/20/2016,NA,04/20/2012,104.7,161.33,675,176,851
G588,b1,Sav,Bor1,8412,5837,mixture,Sav Bor1,7.5,7,03/20/2016,04/03/2016,04/19/2012,178.2,208.58,476,573,1049
G589,b1,Sav,Br0,8412,6904,mixture,Sav Br0,9,8.5,03/20/2016,NA,04/18/2012,230.5,251.30,648,656,1304
G590,b1,Sav,Bur,8412,6905,mixture,Sav Bur,7.5,8,03/20/2016,04/05/2016,04/17/2012,137.2,137.20,445,885,1330
G591,b1,Sav,C24,8412,6906,mixture,Sav C24,9,8,03/20/2016,03/29/2016,04/18/2012,107.7,128.50,388,852,1240
G592,b1,Sav,Col,8412,6909,mixture,Sav Col,7,9,03/20/2016,03/24/2016,04/18/2012,168.5,189.30,415,755,1170
G593,b1,Sav,Ct,8412,6910,mixture,Sav Ct,9.5,8,03/20/2016,03/24/2016,04/17/2012,119.5,119.50,472,626,1098
G594,b1,Sav,Ed1,8412,6009,mixture,Sav Ed1,8,8,03/20/2016,NA,04/19/2012,123.2,153.58,728,277,1005
G595,b1,Sav,Ed2,8412,6913,mixture,Sav Ed2,8,7,03/20/2016,NA,04/18/2012,113.3,134.10,436,283,719
G596,b1,Sav,Edi0,8412,6914,mixture,Sav Edi0,9,7,03/20/2016,NA,04/19/2012,122.9,153.28,483,477,960
G597,b1,Sav,Ei2,8412,6915,mixture,Sav Ei2,7.5,8,03/20/2016,04/07/2016,04/17/2012,155.2,155.20,344,613,957
G598,b1,Sav,Est,8412,6916,mixture,Sav Est,8,9,03/20/2016,03/27/2016,04/19/2012,127.5,157.88,578,521,1099
G599,b1,Sav,Fab2,8412,6917,mixture,Sav Fab2,8.5,7.5,03/22/2016,NA,04/18/2012,112.2,133.00,554,351,905
G600,b1,Sav,Got22,8412,6920,mixture,Sav Got22,9,8,03/20/2016,NA,04/19/2012,170.1,200.48,603,432,1035
G601,b1,Sav,Got7,8412,6921,mixture,Sav Got7,9,9,03/20/2016,NA,04/19/2012,169.8,200.18,685,553,1238
G602,b1,Sav,Gu0,8412,6922,mixture,Sav Gu0,8,6.5,03/20/2016,03/24/2016,04/20/2012,81.9,138.53,379,512,891
G603,b1,Sav,Kin,8412,6926,mixture,Sav Kin,8.5,6,03/20/2016,04/07/2016,04/19/2012,131.6,161.98,550,572,1122
G604,b1,Sav,Kond,8412,6929,mixture,Sav Kond,7.5,8,03/20/2016,04/03/2016,04/17/2012,213.8,213.80,382,675,1057
G605,b1,Sav,Ler,8412,6932,mixture,Sav Ler,7.5,6.5,03/20/2016,03/24/2016,04/17/2012,142.5,142.50,488,630,1118
G606,b1,Sav,Lov1,8412,6043,mixture,Sav Lov1,7.5,7.5,03/20/2016,NA,04/18/2012,88.7,109.50,524,253,777
G607,b1,Sav,Lov5,8412,6046,mixture,Sav Lov5,10,6,03/20/2016,NA,04/18/2012,80.3,101.10,693,133,826
G608,b1,Sav,Lp22,8412,7520,mixture,Sav Lp22,8,8,03/20/2016,03/27/2016,04/20/2012,100.7,157.33,479,609,1088
G609,b1,Sav,Lz,8412,6936,mixture,Sav Lz,8,9,03/20/2016,04/12/2016,04/19/2012,179.8,210.18,452,666,1118
G610,b1,Sav,Mrk,8412,6937,mixture,Sav Mrk,7.5,10,03/20/2016,03/29/2016,04/19/2012,150.3,180.68,510,1073,1583
G611,b1,Sav,Mz,8412,6940,mixture,Sav Mz,9,5.5,03/20/2016,03/29/2016,04/17/2012,130,130.00,705,185,890
G612,b1,Sav,Nd,8412,6942,mixture,Sav Nd,7.5,9,03/20/2016,03/20/2016,04/19/2012,149.3,179.68,424,640,1064
G613,b1,Sav,Nok3,8412,6945,mixture,Sav Nok3,8,7,03/20/2016,NA,04/19/2012,142.8,173.18,640,525,1165
G614,b1,Sav,Omo23,8412,7519,mixture,Sav Omo23,7.5,6,03/20/2016,NA,04/20/2012,128.1,184.73,507,547,1054
G615,b1,Sav,Oy,8412,6946,mixture,Sav Oy,6.5,6,03/20/2016,04/05/2016,04/17/2012,156.8,156.80,310,561,871
G616,b1,Sav,Pna10,8412,7526,mixture,Sav Pna10,6.5,6.5,03/20/2016,NA,04/17/2012,176.5,176.50,437,443,880
G617,b1,Sav,Pna17,8412,7523,mixture,Sav Pna17,8,6,03/20/2016,NA,NA,NA,NA,579,484,1063
G618,b1,Sav,Pro,8412,8213,mixture,Sav Pro,8,7,03/20/2016,03/27/2016,04/20/2012,120.7,177.33,579,543,1122
G619,b1,Sav,Ra,8412,6958,mixture,Sav Ra,8,8.5,03/20/2016,03/27/2016,04/18/2012,176.6,197.40,495,759,1254
G620,b1,Sav,Ren1,8412,6959,mixture,Sav Ren1,7.5,6,03/20/2016,04/05/2016,04/20/2012,117.1,173.73,408,492,900
G621,b1,Sav,Ren11,8412,6960,mixture,Sav Ren11,7,6,03/20/2016,03/22/2016,04/18/2012,125.1,145.90,555,476,1031
G622,b1,Sav,Rmx2,8412,7524,mixture,Sav Rmx2,9,8.5,03/20/2016,NA,04/17/2012,288.7,288.70,457,789,1246
G623,b1,Sav,Rmx180,8412,7525,mixture,Sav Rmx180,8,7,03/20/2016,04/07/2016,04/17/2012,208.9,208.90,448,720,1168
G624,b1,Sav,Rrs7,8412,7514,mixture,Sav Rrs7,8,6.5,03/20/2016,NA,04/19/2012,104,134.38,428,566,994
G625,b1,Sav,Se,8412,6961,mixture,Sav Se,7,9,03/20/2016,04/10/2016,04/19/2012,201.4,231.78,418,627,1045
G626,b1,Sav,Sha,8412,6962,mixture,Sav Sha,7,6.5,03/20/2016,03/27/2016,04/19/2012,131.4,161.78,426,738,1164
G627,b1,Sav,Sorbo,8412,6963,mixture,Sav Sorbo,9,7.5,03/20/2016,NA,04/20/2012,132,188.63,530,586,1116
G628,b1,Sav,Tamm2,8412,6968,mixture,Sav Tamm2,9.5,7,03/20/2016,NA,04/17/2012,183.7,183.70,580,417,997
G629,b1,Sav,Tamm27,8412,6969,mixture,Sav Tamm27,8,7.5,03/20/2016,NA,04/17/2012,142.8,142.80,737,405,1142
G630,b1,Sav,Ts1,8412,6970,mixture,Sav Ts1,7.5,6.5,03/20/2016,04/10/2016,04/19/2012,123.8,154.18,560,386,946
G631,b1,Sav,Tsu1,8412,6972,mixture,Sav Tsu1,8,8.5,03/20/2016,03/29/2016,04/20/2012,193.1,249.73,393,891,1284
G632,b1,Sav,Ull23,8412,6973,mixture,Sav Ull23,8.5,8.5,03/20/2016,03/29/2016,04/18/2012,157.9,178.70,422,842,1264
G633,b1,Sav,Uod1,8412,6975,mixture,Sav Uod1,8.5,8,03/20/2016,03/29/2016,04/17/2012,179.6,179.60,510,614,1124
G634,b1,Sav,Uod7,8412,6976,mixture,Sav Uod7,8,7.5,03/20/2016,NA,04/17/2012,239.7,239.70,484,544,1028
G635,b1,Sav,Van,8412,6977,mixture,Sav Van,6.5,6.5,03/20/2016,03/29/2016,04/20/2012,109.8,166.43,382,500,882
G636,b1,Sav,Var21,8412,7516,mixture,Sav Var21,8,5.5,03/20/2016,NA,04/20/2012,98.4,155.03,543,263,806
G637,b1,Sav,Var26,8412,7517,mixture,Sav Var26,8,8,03/20/2016,NA,04/20/2012,64,120.63,502,232,734
G638,b1,Sav,Wa,8412,6978,mixture,Sav Wa,7,6,03/20/2016,03/27/2016,04/19/2012,96.2,126.58,454,510,964
G639,b1,Sav,Wie,8412,6979,mixture,Sav Wie,7.5,7,03/20/2016,03/22/2016,04/17/2012,128.3,128.30,504,588,1092
G640,b1,Sav,Ws0,8412,6980,mixture,Sav Ws0,8.5,9,03/20/2016,NA,04/18/2012,165.1,185.90,371,611,982
G641,b1,Sav,Ws2,8412,6981,mixture,Sav Ws2,9.5,8.5,03/20/2016,03/20/2016,04/17/2012,109.4,109.40,601,579,1180
G642,b1,Sav,Wt5,8412,6982,mixture,Sav Wt5,2,8,03/27/2016,04/03/2016,04/18/2012,122.7,143.50,94,720,814
G643,b1,Sav,Yo,8412,6983,mixture,Sav Yo,7.5,7.5,03/20/2016,NA,04/18/2012,190.8,211.60,461,704,1165
G644,b1,Sav,Zdr,8412,6984,mixture,Sav Zdr,7.5,8,03/20/2016,03/22/2016,04/17/2012,139.8,139.80,488,617,1105
G645,b1,Sav,Sav,8412,8412,monoculture,Sav Sav,8,8.5,03/20/2016,03/20/2016,04/20/2012,70.8,127.43,429,622,1051
G646,b1,Sav,Uk,8412,7378,mixture,Sav Uk,8,8.5,03/20/2016,NA,04/20/2012,101.9,158.53,400,536,936
G647,b1,Sav,Sf2,8412,7328,mixture,Sav Sf2,8.5,9,03/20/2016,04/05/2016,04/18/2012,188.8,209.60,508,550,1058
G648,b1,Sav,St0,8412,8387,mixture,Sav St0,8,10.5,03/20/2016,03/29/2016,04/18/2012,192,212.80,329,827,1156
G649,b1,Sav,Cvi,8412,6911,mixture,Sav Cvi,8,6,03/20/2016,03/27/2016,04/18/2012,180.7,201.50,698,285,983
G650,b1,Sav,Ci17,8412,6907,mixture,Sav Ci17,7.5,6.5,03/20/2016,NA,04/19/2012,115.5,145.88,396,548,944
G651,b1,Sav,Kno10,8412,6927,mixture,Sav Kno10,6,6,03/20/2016,NA,04/18/2012,182.5,203.30,385,556,941
G652,b1,Sav,Lp26,8412,7521,mixture,Sav Lp26,8,6,03/20/2016,NA,04/19/2012,155.1,185.48,493,580,1073
G653,b1,Sav,Pu27,8412,6956,mixture,Sav Pu27,5.5,6,03/20/2016,04/12/2016,04/19/2012,196.6,226.98,322,578,900
G654,b1,Sav,Sq1,8412,6966,mixture,Sav Sq1,7,6.5,03/20/2016,NA,04/19/2012,163.6,193.98,696,494,1190
G655,b1,Sav,Ull25,8412,6974,mixture,Sav Ull25,8,7,03/20/2016,03/27/2016,04/19/2012,227.4,257.78,508,729,1237
G656,b1,Sav,Ag,8412,6897,mixture,Sav Ag,8,6.5,03/20/2016,NA,04/20/2012,165.9,222.53,478,472,950
G657,b1,Sav,Gy,8412,8214,mixture,Sav Gy,7,9,03/20/2016,04/07/2016,04/20/2012,80.3,136.93,362,402,764
G658,b1,Sav,Bor4,8412,6903,mixture,Sav Bor4,7.5,7.5,03/20/2016,03/31/2016,04/18/2012,211.9,232.70,372,873,1245
G659,b1,Sav,Fab4,8412,6918,mixture,Sav Fab4,8,5,03/20/2016,NA,04/19/2012,102.7,133.08,698,149,847
G660,b1,Sav,Ga,8412,6919,mixture,Sav Ga,9,6.5,03/20/2016,04/07/2016,04/19/2012,156.4,186.78,452,617,1069
G661,b1,Sav,Kno18,8412,6928,mixture,Sav Kno18,7.5,7,03/20/2016,NA,04/18/2012,210.3,231.10,410,552,962
G662,b1,Sav,Mt0,8412,6939,mixture,Sav Mt0,8,7.5,03/20/2016,03/22/2016,04/19/2012,121,151.38,484,811,1295
G663,b1,Sav,Omo21,8412,7518,mixture,Sav Omo21,6.5,6,03/20/2016,NA,04/20/2012,139.3,195.93,461,434,895
G664,b1,Sav,Pu223,8412,6951,mixture,Sav Pu223,8,6.5,03/20/2016,04/05/2016,04/18/2012,148.3,169.10,509,578,1087
G665,b1,Sav,Rrs10,8412,7515,mixture,Sav Rrs10,7,7,03/20/2016,NA,04/20/2012,165.8,222.43,565,572,1137
G666,b1,Sav,Fei,8412,8215,mixture,Sav Fei,7,10,03/20/2016,03/24/2016,04/18/2012,124.9,145.70,439,801,1240
G667,b1,Sav,Kas,8412,8424,mixture,Sav Kas,8.5,3.5,03/20/2016,NA,04/20/2012,92.4,149.03,526,177,703
G668,b1,Sav,No,8412,7275,mixture,Sav No,9,11,03/20/2016,03/20/2016,04/19/2012,192.6,222.98,578,935,1513
G669,b1,Sav,Bla1,8412,8264,mixture,Sav Bla1,8,7,03/20/2016,NA,04/18/2012,189.6,210.40,529,391,920
G670,b1,Sav,Can,8412,8274,mixture,Sav Can,7.5,8,03/20/2016,NA,04/18/2012,159.2,180.00,373,603,976
G671,b1,Sav,Ge,8412,8297,mixture,Sav Ge,7,6.5,03/20/2016,NA,04/18/2012,118.2,139.00,449,468,917
G672,b1,Sav,Wil2,8412,7413,mixture,Sav Wil2,8,9,03/20/2016,03/22/2016,04/19/2012,225.7,256.08,512,936,1448
G673,b1,Cvi,Ci5,6911,6908,mixture,Cvi Ci5,6.5,7,03/22/2016,NA,04/17/2012,152.4,152.40,192,659,851
G674,b1,Cvi,Ll0,6911,6933,mixture,Cvi Ll0,8,6.5,03/27/2016,04/12/2016,04/17/2012,212.2,212.20,382,406,788
G675,b1,Cvi,NA,6911,NA,single,Cvi,7,NA,03/31/2016,NA,04/17/2012,90.7,90.70,375,NA,NA
G676,b1,Cvi,Nfa8,6911,6944,mixture,Cvi Nfa8,5.5,9,03/22/2016,03/24/2016,04/20/2012,122.9,179.53,188,821,1009
G677,b1,Cvi,Spr16,6911,6965,mixture,Cvi Spr16,6,6.5,03/22/2016,NA,04/19/2012,130.7,161.08,248,479,727
G678,b1,Cvi,NA,6911,NA,single,Cvi,6,NA,03/27/2016,NA,04/19/2012,78.1,108.48,264,NA,NA
G679,b1,Cvi,Kz9,6911,6931,mixture,Cvi Kz9,6.5,9.5,03/24/2016,04/03/2016,04/19/2012,173.6,203.98,265,846,1111
G680,b1,Cvi,An1,6911,6898,mixture,Cvi An1,8,8,03/31/2016,03/20/2016,04/17/2012,143.1,143.10,399,586,985
G681,b1,Cvi,Bay,6911,6899,mixture,Cvi Bay,9.5,9,03/22/2016,03/22/2016,04/18/2012,147.3,168.10,529,651,1180
G682,b1,Cvi,Bil5,6911,6900,mixture,Cvi Bil5,7,7.5,03/27/2016,NA,04/17/2012,97.6,97.60,331,144,475
G683,b1,Cvi,Bil7,6911,6901,mixture,Cvi Bil7,8,7,03/29/2016,NA,04/18/2012,127.9,148.70,368,143,511
G684,b1,Cvi,Bor1,6911,5837,mixture,Cvi Bor1,5.5,6.5,03/31/2016,04/05/2016,04/18/2012,175.6,196.40,223,615,838
G685,b1,Cvi,Br0,6911,6904,mixture,Cvi Br0,6,8,03/29/2016,NA,04/19/2012,172.4,202.78,174,726,900
G686,b1,Cvi,Bur,6911,6905,mixture,Cvi Bur,6.5,8.5,03/31/2016,04/07/2016,04/20/2012,111.7,168.33,212,577,789
G687,b1,Cvi,C24,6911,6906,mixture,Cvi C24,6,8,03/27/2016,03/29/2016,04/17/2012,140.8,140.80,232,773,1005
G688,b1,Cvi,Col,6911,6909,mixture,Cvi Col,6.5,7.5,03/29/2016,03/24/2016,04/17/2012,230,230.00,234,791,1025
G689,b1,Cvi,Ct,6911,6910,mixture,Cvi Ct,7,8,03/24/2016,03/22/2016,04/18/2012,116.4,137.20,261,668,929
G690,b1,Cvi,Ed1,6911,6009,mixture,Cvi Ed1,6.5,7,03/31/2016,NA,NA,NA,NA,366,311,677
G691,b1,Cvi,Ed2,6911,6913,mixture,Cvi Ed2,7,6,03/22/2016,NA,04/18/2012,109.7,130.50,236,188,424
G692,b1,Cvi,Edi0,6911,6914,mixture,Cvi Edi0,6.5,8.5,03/24/2016,NA,04/20/2012,112.4,169.03,267,616,883
G693,b1,Cvi,Ei2,6911,6915,mixture,Cvi Ei2,6.5,7.5,03/24/2016,04/03/2016,04/20/2012,154.7,211.33,289,830,1119
G694,b1,Cvi,Est,6911,6916,mixture,Cvi Est,6.5,5.5,03/22/2016,03/29/2016,04/18/2012,112.7,133.50,246,391,637
G695,b1,Cvi,Fab2,6911,6917,mixture,Cvi Fab2,7,8,03/27/2016,NA,04/18/2012,118.7,139.50,244,345,589
G696,b1,Cvi,Got22,6911,6920,mixture,Cvi Got22,9,10.5,03/27/2016,NA,04/20/2012,165.5,222.13,320,510,830
G697,b1,Cvi,Got7,6911,6921,mixture,Cvi Got7,8,10,03/27/2016,NA,04/18/2012,187.4,208.20,262,525,787
G698,b1,Cvi,Gu0,6911,6922,mixture,Cvi Gu0,7,7.5,03/27/2016,03/24/2016,04/18/2012,115.5,136.30,383,570,953
G699,b1,Cvi,Kin,6911,6926,mixture,Cvi Kin,6,7,03/24/2016,04/03/2016,04/20/2012,141.8,198.43,267,754,1021
G700,b1,Cvi,Kond,6911,6929,mixture,Cvi Kond,7.5,8,03/24/2016,04/03/2016,04/19/2012,227.9,258.28,242,840,1082
G701,b1,Cvi,Ler,6911,6932,mixture,Cvi Ler,6.5,5.5,03/22/2016,03/24/2016,04/19/2012,106.2,136.58,303,511,814
G702,b1,Cvi,Lov1,6911,6043,mixture,Cvi Lov1,8.5,8.5,03/27/2016,NA,04/19/2012,148.4,178.78,475,288,763
G703,b1,Cvi,Lov5,6911,6046,mixture,Cvi C24,7,6.5,03/27/2016,03/31/2016,04/17/2012,170.5,170.50,296,603,899
G704,b1,Cvi,Lp22,6911,7520,mixture,Cvi Lp22,7,8,03/29/2016,03/29/2016,04/18/2012,153.7,174.50,312,790,1102
G705,b1,Cvi,Lz,6911,6936,mixture,Cvi Lz,7.5,9,03/29/2016,04/10/2016,04/20/2012,250,306.63,231,863,1094
G706,b1,Cvi,Mrk,6911,6937,mixture,Cvi Mrk,6,10.5,03/27/2016,03/29/2016,04/20/2012,50.9,107.53,178,725,903
G707,b1,Cvi,Mz,6911,6940,mixture,Cvi Mz,7,5,03/24/2016,03/27/2016,04/19/2012,98.1,128.48,391,193,584
G708,b1,Cvi,Nd,6911,6942,mixture,Cvi Nd,7,8,03/24/2016,03/24/2016,04/19/2012,117,147.38,286,601,887
G709,b1,Cvi,Nok3,6911,6945,mixture,Cvi Nok3,7,7.5,03/27/2016,NA,04/18/2012,150.3,171.10,254,635,889
G710,b1,Cvi,Omo23,6911,7519,mixture,Cvi Omo23,7,7.5,03/24/2016,NA,04/19/2012,130.2,160.58,326,591,917
G711,b1,Cvi,Oy,6911,6946,mixture,Cvi Oy,8,10,03/27/2016,03/29/2016,04/19/2012,173.1,203.48,221,841,1062
G712,b1,Cvi,Pna10,6911,7526,mixture,Cvi Pna10,7,5.5,03/22/2016,NA,04/20/2012,85.3,141.93,243,335,578
